udi,timestamp,machine_id,product_id,machine_type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,thermal_delta_k,power_w,hazard,dominant_mode,machine_failure,twf,hdf,pwf,osf,osp,tol,rnf
179,2025-06-17 18:00:00,CLC-06,M47178,M,301.9,309.5,2812,20.5,127,7.54,6049.9,0.897,osp,1,0,0,0,0,1,0,0
180,2025-06-18 00:00:00,CLC-06,M47179,M,302.1,309.5,1272,45.4,37,7.41,6051.1,0.8505,hdf,1,0,1,0,0,0,0,0
181,2025-06-18 06:00:00,BLR-03,M47180,M,301.3,313.4,1168,54.2,68,12.06,6624.7,0.3056,tol,0,0,0,0,0,0,0,0
182,2025-06-18 12:00:00,BLR-03,M47181,M,299.6,308.7,1735,46.3,56,9.11,8421.2,0.0458,tol,0,0,0,0,0,0,0,0
183,2025-06-18 18:00:00,PKR-09,L47182,L,299.3,311.4,1667,32.6,50,12.05,5683.3,0.0043,rnf,0,0,0,0,0,0,0,0
184,2025-06-19 00:00:00,PKR-09,L47183,L,299.9,308.4,1168,49.3,195,8.55,6034.7,0.8484,hdf,1,0,1,0,1,0,0,0
185,2025-06-19 06:00:00,CML-05,M47184,M,299.6,307.7,1553,33.2,103,8.04,5391.9,0.0369,hdf,0,0,0,0,0,0,0,0
186,2025-06-19 12:00:00,CML-05,M47185,M,300.2,308.0,1481,39.5,51,7.8,6123.1,0.1515,hdf,0,0,0,0,0,0,0,0
187,2025-06-19 18:00:00,PKR-09,L47186,L,300.3,310.7,1598,44.9,82,10.36,7507.7,0.0242,tol,0,0,0,0,0,0,0,0
188,2025-06-20 00:00:00,CRS-08,L47187,L,301.1,310.0,1645,46.6,15,8.9,8029.0,0.042,tol,1,0,0,0,0,0,0,0
189,2025-06-20 06:00:00,CLC-06,M47188,M,300.9,309.8,1168,52.0,64,8.93,6361.6,0.4807,hdf,0,0,0,0,0,0,0,0
190,2025-06-20 12:00:00,CRS-08,L47189,L,301.1,309.8,2546,27.5,18,8.63,7344.6,0.4572,osp,1,0,0,0,0,0,0,0
191,2025-06-20 18:00:00,KLN-01,H47190,H,301.4,312.2,1502,42.4,70,10.78,6674.4,0.0133,tol,0,0,0,0,0,0,0,0
192,2025-06-21 00:00:00,CRS-08,L47191,L,302.3,312.3,1907,36.0,15,9.97,7191.0,0.0051,rnf,0,0,0,0,0,0,0,0
193,2025-06-21 06:00:00,PKR-09,L47192,L,301.1,312.9,1168,39.3,117,11.81,4810.0,0.0079,rnf,0,0,0,0,0,0,0,0
194,2025-06-21 12:00:00,CML-05,M47193,M,300.7,310.0,1168,49.5,97,9.31,6055.5,0.238,hdf,0,0,0,0,0,0,0,0
195,2025-06-21 18:00:00,CRS-08,L47194,L,301.2,311.4,1345,50.7,66,10.22,7143.8,0.1373,tol,0,0,0,0,0,0,0,0
196,2025-06-22 00:00:00,CRS-08,L47195,L,302.2,310.9,1236,55.4,20,8.71,7166.9,0.6948,hdf,1,0,0,0,0,0,0,0
197,2025-06-22 06:00:00,CRS-08,L47196,L,302.2,311.9,1393,62.6,238,9.66,9136.9,0.9989,osf,1,1,0,1,1,0,1,0
198,2025-06-22 12:00:00,FAN-07,M47197,M,301.9,311.4,1538,38.8,40,9.48,6247.4,0.0125,hdf,0,0,0,0,0,0,0,0
199,2025-06-22 18:00:00,PKR-09,L47198,L,302.3,312.7,1508,37.2,54,10.46,5876.0,0.0063,rnf,0,0,0,0,0,0,0,0
200,2025-06-23 00:00:00,PKR-09,L47199,L,302.7,313.8,1376,20.9,58,11.02,3014.8,0.8913,pwf,1,0,0,1,0,0,0,0
201,2025-06-23 06:00:00,CLC-06,M47200,M,302.3,313.3,1168,54.7,88,10.99,6695.0,0.346,tol,1,0,0,0,0,0,0,0
202,2025-06-23 12:00:00,KLN-01,H47201,H,302.4,311.6,1448,36.5,36,9.16,5526.6,0.0755,hdf,0,0,0,0,0,0,0,0
203,2025-06-23 18:00:00,PKR-09,L47202,L,303.1,314.1,1168,45.6,60,11.0,5573.2,0.0305,tol,0,0,0,0,0,0,0,0
204,2025-06-24 00:00:00,PKR-09,L47203,L,304.2,314.1,1407,47.5,141,9.96,6996.0,0.0671,tol,0,0,0,0,0,0,0,0
205,2025-06-24 06:00:00,CRS-08,L47204,L,304.4,314.1,1602,26.3,129,9.68,4413.0,0.0126,pwf,0,0,0,0,0,0,0,0
206,2025-06-24 12:00:00,PKR-09,L47205,L,304.2,313.5,1727,29.8,57,9.29,5396.4,0.0043,rnf,0,0,0,0,0,0,0,0
207,2025-06-24 18:00:00,CRS-08,L47206,L,303.9,306.9,1168,66.4,130,3.01,8122.9,0.9883,hdf,1,0,1,0,0,0,1,0
208,2025-06-25 00:00:00,CLC-06,M47207,M,304.0,313.2,1652,43.2,3,9.15,7471.0,0.0167,tol,0,0,0,0,0,0,0,0
209,2025-06-25 06:00:00,CRS-08,L47208,L,303.7,314.0,1496,33.6,75,10.31,5266.4,0.0059,rnf,0,0,0,0,0,0,0,0
210,2025-06-25 12:00:00,PKR-09,L47209,L,303.6,313.8,1168,41.4,160,10.17,5066.5,0.0302,hdf,0,0,0,0,0,0,0,0
211,2025-06-25 18:00:00,BLR-03,M47210,M,302.7,312.4,1168,51.9,41,9.74,6354.0,0.2228,tol,0,0,0,0,0,0,0,0
212,2025-06-26 00:00:00,CRS-08,L47211,L,303.4,315.9,1349,50.3,157,12.45,7104.4,0.1418,tol,0,0,0,0,0,0,0,0
213,2025-06-26 06:00:00,PKR-09,L47212,L,302.4,313.7,2816,23.9,13,11.31,7039.9,0.8972,osp,1,0,0,0,0,1,0,0
214,2025-06-26 12:00:00,BLR-03,M47213,M,302.0,311.3,1168,58.0,27,9.28,7091.3,0.6549,tol,1,0,0,0,0,0,1,0
215,2025-06-26 18:00:00,CLC-06,M47214,M,301.9,311.7,1168,50.6,126,9.73,6192.4,0.1734,tol,1,0,0,0,0,0,0,0
216,2025-06-27 00:00:00,BLR-03,M47215,M,303.2,313.0,1426,38.3,97,9.79,5724.2,0.0255,hdf,0,0,0,0,0,0,0,0
217,2025-06-27 06:00:00,PKR-09,L47216,L,302.7,312.8,2124,26.9,12,10.15,5981.7,0.0042,rnf,0,0,0,0,0,0,0,0
218,2025-06-27 12:00:00,CRS-08,L47217,L,302.1,306.6,1176,51.6,15,4.56,6353.8,0.9122,hdf,1,0,1,0,0,0,0,0
219,2025-06-27 18:00:00,KLN-01,H47218,H,301.6,312.0,1168,45.2,71,10.44,5533.5,0.0336,tol,0,0,0,0,0,0,0,0
220,2025-06-28 00:00:00,CRS-08,L47219,L,302.6,314.1,2886,24.0,86,11.45,7242.5,0.8997,osp,1,0,0,0,0,1,0,0
221,2025-06-28 06:00:00,CRS-08,L47220,L,300.5,309.2,1891,40.2,80,8.69,7950.6,0.0087,tol,0,0,0,0,0,0,0,0
222,2025-06-28 12:00:00,CRS-08,L47221,L,299.8,308.7,1168,67.8,190,8.87,8294.5,0.9935,osf,1,0,0,0,1,0,1,0
223,2025-06-28 18:00:00,CLC-06,M47222,M,301.7,311.2,1295,40.2,32,9.52,5448.8,0.098,hdf,0,0,0,0,0,0,0,0
224,2025-06-29 00:00:00,KLN-02,H47223,H,302.0,311.6,2505,31.8,5,9.56,8351.1,0.2792,osp,0,0,0,0,0,0,0,0
225,2025-06-29 06:00:00,PKR-09,L47224,L,301.1,313.1,2251,28.9,104,12.0,6813.9,0.0061,rnf,0,0,0,0,0,0,0,0
226,2025-06-29 12:00:00,RMM-04,H47225,H,301.0,312.0,1168,67.1,102,11.0,8205.7,0.8777,tol,1,0,0,0,0,0,1,0
227,2025-06-29 18:00:00,PKR-09,L47226,L,301.0,312.0,1168,49.3,40,10.94,6033.1,0.0878,tol,0,0,0,0,0,0,0,0
228,2025-06-30 00:00:00,PKR-09,L47227,L,301.5,311.3,1168,55.5,24,9.74,6786.1,0.4311,tol,0,0,0,0,0,0,0,0
229,2025-06-30 06:00:00,CLC-06,M47228,M,302.7,312.4,1168,50.4,41,9.71,6165.2,0.1678,tol,0,0,0,0,0,0,0,0
230,2025-06-30 12:00:00,PKR-09,L47229,L,302.8,311.3,1168,53.8,65,8.55,6579.7,0.7173,hdf,1,0,1,0,0,0,0,0
231,2025-06-30 18:00:00,PKR-09,L47230,L,302.2,313.0,1804,30.7,83,10.78,5794.4,0.0042,rnf,0,0,0,0,0,0,0,0
232,2025-07-01 00:00:00,PKR-09,L47231,L,302.6,313.1,1418,51.8,197,10.49,7697.3,0.8205,osf,1,0,0,0,1,0,0,0
233,2025-07-01 06:00:00,KLN-02,H47232,H,302.0,313.3,1231,43.2,61,11.29,5563.3,0.016,tol,0,0,0,0,0,0,0,0
234,2025-07-01 12:00:00,PKR-09,L47233,L,301.2,311.0,1168,68.8,177,9.79,8414.8,0.9892,osf,1,0,0,0,1,0,1,0
235,2025-07-01 18:00:00,RMM-04,H47234,H,299.9,309.8,1270,43.5,53,9.86,5787.3,0.0529,hdf,0,0,0,0,0,0,0,0
236,2025-07-02 00:00:00,CML-05,M47235,M,298.9,309.0,2122,33.1,111,10.17,7359.7,0.0046,rnf,0,0,0,0,0,0,0,0
237,2025-07-02 06:00:00,CRS-08,L47236,L,298.3,309.2,1168,40.7,82,10.89,4978.7,0.0112,tol,0,0,0,0,0,0,0,0
238,2025-07-02 12:00:00,CML-05,M47237,M,297.6,306.2,2886,16.3,186,8.53,4919.8,0.9051,osp,0,0,0,0,0,1,0,0
239,2025-07-02 18:00:00,CRS-08,L47238,L,298.0,308.7,2886,14.5,25,10.74,4372.9,0.9007,osp,1,0,0,0,0,1,0,0
240,2025-07-03 00:00:00,CRS-08,L47239,L,297.3,307.3,1168,49.1,101,9.98,6011.0,0.1068,tol,0,0,0,0,0,0,0,0
241,2025-07-03 06:00:00,FAN-07,M47240,M,295.3,304.3,1797,34.2,130,8.94,6439.9,0.0047,rnf,0,0,0,0,0,0,0,0
242,2025-07-03 12:00:00,BLR-03,M47241,M,294.9,302.8,2538,30.8,94,7.92,8189.4,0.4193,osp,1,0,0,0,0,0,0,0
243,2025-07-03 18:00:00,PKR-09,L47242,L,294.9,304.8,1276,25.0,204,9.86,3341.8,0.8886,pwf,1,0,0,1,0,0,0,0
244,2025-07-04 00:00:00,PKR-09,L47243,L,294.8,306.2,1168,55.4,220,11.45,6772.1,0.9834,osf,1,1,0,0,1,0,0,0
245,2025-07-04 06:00:00,CML-05,M47244,M,296.1,307.8,1168,45.9,10,11.67,5611.6,0.032,tol,0,0,0,0,0,0,0,0
246,2025-07-04 12:00:00,CML-05,M47245,M,295.9,306.3,1168,61.2,44,10.36,7486.6,0.7606,tol,1,0,0,0,0,0,1,0
247,2025-07-04 18:00:00,FAN-07,M47246,M,296.8,308.8,1221,45.5,52,11.96,5821.2,0.0289,tol,0,0,0,0,0,0,0,0
248,2025-07-05 00:00:00,CRS-08,L47247,L,297.0,306.9,1168,43.3,65,9.96,5299.1,0.0445,hdf,0,0,0,0,0,0,0,0
249,2025-07-05 06:00:00,PKR-09,L47248,L,297.1,308.1,1342,42.6,39,10.95,5991.8,0.015,tol,0,0,0,0,0,0,0,0
250,2025-07-05 12:00:00,CRS-08,L47249,L,296.7,306.3,2719,25.9,15,9.55,7361.9,0.8769,osp,1,0,0,0,0,1,0,0
251,2025-07-05 18:00:00,CLC-06,M47250,M,296.9,306.4,1562,50.5,46,9.49,8260.8,0.1272,tol,0,0,0,0,0,0,0,0
252,2025-07-06 00:00:00,FAN-07,M47251,M,296.6,305.9,2886,6.3,127,9.32,1894.8,0.99,pwf,1,0,0,1,0,1,0,0
253,2025-07-06 06:00:00,PKR-09,L47252,L,296.9,304.8,2062,33.6,51,7.94,7245.4,0.0045,rnf,0,0,0,0,0,0,0,0
254,2025-07-06 12:00:00,CRS-08,L47253,L,296.9,308.2,1540,40.3,63,11.29,6491.1,0.0084,tol,0,0,0,0,0,0,0,0
255,2025-07-06 18:00:00,PKR-09,L47254,L,296.5,297.0,1690,31.3,76,0.52,5540.1,0.006,rnf,0,0,0,0,0,0,0,0
256,2025-07-07 00:00:00,CML-05,M47255,M,297.3,306.5,1168,35.0,47,9.2,4284.7,0.2296,hdf,0,0,0,0,0,0,0,0
257,2025-07-07 06:00:00,CLC-06,M47256,M,297.8,306.6,1750,50.0,89,8.82,9169.3,0.5994,pwf,0,0,0,1,0,0,0,0
258,2025-07-07 12:00:00,CRS-08,L47257,L,297.6,307.4,1168,52.1,63,9.8,6377.9,0.2252,tol,0,0,0,0,0,0,0,0
259,2025-07-07 18:00:00,PKR-09,L47258,L,297.9,309.6,2262,32.5,80,11.76,7687.4,0.0069,rnf,0,0,0,0,0,0,0,0
260,2025-07-08 00:00:00,CRS-08,L47259,L,297.9,303.1,1825,34.8,67,5.18,6658.8,0.0048,rnf,0,0,0,0,0,0,0,0
261,2025-07-08 06:00:00,CRS-08,L47260,L,297.5,305.8,1773,26.0,229,8.34,4819.2,0.8401,twf,1,1,0,0,0,0,0,0
262,2025-07-08 12:00:00,FAN-07,M47261,M,297.7,307.3,1701,35.4,83,9.65,6305.5,0.005,rnf,0,0,0,0,0,0,0,0
263,2025-07-08 18:00:00,CRS-08,L47262,L,297.4,306.3,2886,23.6,116,8.97,7122.7,0.8997,osp,1,0,0,0,0,1,0,0
264,2025-07-09 00:00:00,CRS-08,L47263,L,296.9,307.9,2886,21.8,84,10.99,6576.9,0.8997,osp,1,0,0,0,0,1,0,0
265,2025-07-09 06:00:00,RMM-04,H47264,H,296.0,306.3,1226,34.0,92,10.29,4366.4,0.0258,hdf,0,0,0,0,0,0,0,0
266,2025-07-09 12:00:00,CRS-08,L47265,L,296.0,305.4,1562,29.0,178,9.36,4745.0,0.0303,twf,0,0,0,0,0,0,0,0
267,2025-07-09 18:00:00,PKR-09,L47266,L,296.6,306.7,1168,50.6,52,10.07,6188.4,0.142,tol,0,0,0,0,0,0,0,0
268,2025-07-10 00:00:00,PKR-09,L47267,L,296.3,305.9,1168,51.2,58,9.52,6256.8,0.2263,tol,0,0,0,0,0,0,0,0
269,2025-07-10 06:00:00,PKR-09,L47268,L,298.3,309.9,2886,10.8,151,11.61,3258.1,0.9855,osp,1,0,0,1,0,1,0,0
270,2025-07-10 12:00:00,CRS-08,L47269,L,299.0,309.5,1168,61.8,130,10.55,7564.9,0.7921,tol,1,0,0,0,0,0,1,0
271,2025-07-10 18:00:00,CRS-08,L47270,L,299.9,310.6,1168,40.1,104,10.67,4901.4,0.0121,tol,0,0,0,0,0,0,0,0
272,2025-07-11 00:00:00,PKR-09,L47271,L,300.5,307.8,1308,47.9,96,7.33,6563.7,0.8157,hdf,1,0,1,0,0,0,0,0
273,2025-07-11 06:00:00,PKR-09,L47272,L,301.7,311.6,1623,34.1,31,9.93,5788.2,0.0048,rnf,0,0,0,0,0,0,0,0
274,2025-07-11 12:00:00,PKR-09,L47273,L,301.1,313.1,1214,47.6,142,12.08,6051.1,0.0552,tol,0,0,0,0,0,0,0,0
275,2025-07-11 18:00:00,BLR-03,M47274,M,299.3,310.6,2511,24.0,28,11.33,6308.7,0.3015,osp,0,0,0,0,0,0,0,0
276,2025-07-12 00:00:00,CRS-08,L47275,L,299.0,307.2,2041,34.9,79,8.15,7463.7,0.0048,rnf,0,0,0,0,0,0,0,0
277,2025-07-12 06:00:00,PKR-09,L47276,L,299.4,309.1,2572,26.7,92,9.69,7195.0,0.5769,osp,0,0,0,0,0,1,0,0
278,2025-07-12 12:00:00,CRS-08,L47277,L,299.6,308.4,1459,33.3,145,8.8,5094.3,0.1181,hdf,0,0,0,0,0,0,0,0
279,2025-07-12 18:00:00,CML-05,M47278,M,299.8,311.5,1168,53.8,172,11.71,6574.9,0.3302,tol,0,0,0,0,0,0,0,0
280,2025-07-13 00:00:00,CML-05,M47279,M,300.7,310.9,1568,33.3,42,10.24,5460.6,0.0048,rnf,0,0,0,0,0,0,0,0
281,2025-07-13 06:00:00,PKR-09,L47280,L,300.9,310.1,1168,37.2,163,9.23,4547.3,0.2064,hdf,0,0,0,0,0,0,0,0
282,2025-07-13 12:00:00,CRS-08,L47281,L,301.4,307.5,1168,56.7,137,6.11,6933.9,0.9479,hdf,1,0,1,0,0,0,0,0
283,2025-07-13 18:00:00,CRS-08,L47282,L,300.7,308.1,1200,68.8,253,7.39,8647.9,0.9999,osf,1,1,1,0,1,0,1,0
284,2025-07-14 00:00:00,CRS-08,L47283,L,299.9,308.8,1168,48.1,130,8.92,5883.5,0.4114,hdf,1,0,0,0,0,0,0,0
285,2025-07-14 06:00:00,PKR-09,L47284,L,301.0,311.0,1168,53.0,56,10.04,6482.2,0.251,tol,1,0,0,0,0,0,0,0
286,2025-07-14 12:00:00,PKR-09,L47285,L,301.0,311.8,1374,41.3,20,10.85,5937.7,0.0117,tol,0,0,0,0,0,0,0,0
287,2025-07-14 18:00:00,PKR-09,L47286,L,300.5,308.6,1258,48.3,13,8.06,6355.9,0.7958,hdf,1,0,1,0,0,0,0,0
288,2025-07-15 00:00:00,CRS-08,L47287,L,300.1,309.7,1168,60.2,37,9.62,7368.0,0.7364,tol,1,0,0,0,0,0,1,0
289,2025-07-15 06:00:00,CRS-08,L47288,L,299.6,310.6,1237,33.0,119,11.01,4273.1,0.0249,pwf,0,0,0,0,0,0,0,0
290,2025-07-15 12:00:00,CRS-08,L47289,L,299.2,307.7,2141,30.0,168,8.55,6728.1,0.0104,twf,0,0,0,0,0,0,0,0
291,2025-07-15 18:00:00,CLC-06,M47290,M,298.3,308.6,2528,28.8,72,10.23,7624.4,0.3728,osp,0,0,0,0,0,0,0,0
292,2025-07-16 00:00:00,PKR-09,L47291,L,297.4,307.5,1168,50.9,52,10.07,6230.4,0.1545,tol,0,0,0,0,0,0,0,0
293,2025-07-16 06:00:00,KLN-01,H47292,H,297.5,309.2,1168,48.8,125,11.71,5965.4,0.0737,tol,0,0,0,0,0,0,0,0
294,2025-07-16 12:00:00,CRS-08,L47293,L,297.2,307.0,2399,34.1,68,9.77,8565.2,0.0691,osp,0,0,0,0,0,0,0,0
295,2025-07-16 18:00:00,BLR-03,M47294,M,298.1,308.0,2886,16.5,45,9.83,4987.8,0.8997,osp,1,0,0,0,0,1,0,0
296,2025-07-17 00:00:00,KLN-02,H47295,H,298.4,309.3,2021,30.4,74,10.85,6423.0,0.0042,rnf,0,0,0,0,0,0,0,0
297,2025-07-17 06:00:00,KLN-02,H47296,H,298.7,307.4,1514,46.0,36,8.67,7299.6,0.0792,hdf,0,0,0,0,0,0,0,0
298,2025-07-17 12:00:00,BLR-03,M47297,M,298.3,308.1,2810,27.1,164,9.78,7987.4,0.8973,osp,1,0,0,0,0,1,0,0
299,2025-07-17 18:00:00,BLR-03,M47298,M,298.3,307.8,1168,42.0,77,9.54,5135.2,0.101,hdf,0,0,0,0,0,0,0,0
300,2025-07-18 00:00:00,CLC-06,M47299,M,298.6,307.1,1433,34.2,90,8.4,5138.6,0.2612,hdf,0,0,0,0,0,0,0,0
301,2025-07-18 06:00:00,FAN-07,M47300,M,299.2,310.1,1190,51.2,13,10.85,6373.7,0.1465,tol,0,0,0,0,0,0,0,0
302,2025-07-18 12:00:00,PKR-09,L47301,L,299.2,309.8,1822,43.8,144,10.55,8351.7,0.0254,tol,0,0,0,0,0,0,0,0
303,2025-07-18 18:00:00,PKR-09,L47302,L,300.0,309.2,1168,36.2,194,9.25,4429.1,0.308,hdf,0,0,0,0,0,0,0,0
304,2025-07-19 00:00:00,PKR-09,L47303,L,300.0,310.1,1236,41.7,204,10.14,5405.8,0.4242,twf,1,0,0,0,0,0,0,0
305,2025-07-19 06:00:00,FAN-07,M47304,M,300.5,312.0,1360,45.8,101,11.49,6516.2,0.0311,tol,0,0,0,0,0,0,0,0
306,2025-07-19 12:00:00,PKR-09,L47305,L,300.2,307.8,1433,45.0,33,7.68,6759.5,0.3423,hdf,1,0,0,0,0,0,0,0
307,2025-07-19 18:00:00,PKR-09,L47306,L,298.9,308.3,2452,22.9,115,9.34,5885.3,0.1169,osp,0,0,0,0,0,0,0,0
308,2025-07-20 00:00:00,CML-05,M47307,M,299.2,307.1,1168,44.1,116,7.96,5394.4,0.8286,hdf,1,0,1,0,0,0,0,0
309,2025-07-20 06:00:00,CRS-08,L47308,L,299.7,309.6,1168,48.7,56,9.94,5957.4,0.1005,tol,1,0,0,0,0,0,0,0
310,2025-07-20 12:00:00,CRS-08,L47309,L,300.1,308.5,1168,66.6,83,8.37,8144.0,0.9619,tol,1,0,1,0,0,0,1,0
311,2025-07-20 18:00:00,CRS-08,L47310,L,300.4,311.8,1471,46.2,78,11.41,7122.2,0.0354,tol,0,0,0,0,0,0,0,0
312,2025-07-21 00:00:00,CRS-08,L47311,L,300.1,309.4,1858,29.4,19,9.23,5716.0,0.0041,rnf,0,0,0,0,0,0,0,0
313,2025-07-21 06:00:00,PKR-09,L47312,L,299.6,310.6,1837,31.1,9,11.03,5978.9,0.0042,rnf,0,0,0,0,0,0,0,0
314,2025-07-21 12:00:00,CRS-08,L47313,L,300.0,309.4,2886,8.6,190,9.38,2585.5,0.9908,pwf,1,0,0,1,0,1,0,0
315,2025-07-21 18:00:00,PKR-09,L47314,L,300.3,309.6,1877,42.1,28,9.37,8271.7,0.0156,tol,0,0,0,0,0,0,0,0
316,2025-07-22 00:00:00,PKR-09,L47315,L,299.9,304.5,1530,38.7,40,4.6,6193.6,0.0646,hdf,0,0,0,0,0,0,0,0
317,2025-07-22 06:00:00,CRS-08,L47316,L,300.6,311.6,2528,27.6,207,10.99,7316.5,0.6377,twf,1,0,0,0,0,0,0,0
318,2025-07-22 12:00:00,CML-05,M47317,M,300.0,310.2,2093,27.6,77,10.21,6042.4,0.0041,rnf,0,0,0,0,0,0,0,0
319,2025-07-22 18:00:00,PKR-09,L47318,L,299.6,310.4,2886,16.9,32,10.76,5112.5,0.8997,osp,0,0,0,0,0,1,0,0
320,2025-07-23 00:00:00,KLN-01,H47319,H,300.7,310.4,2886,5.7,192,9.71,1718.4,0.991,pwf,1,0,0,1,0,1,0,0
321,2025-07-23 06:00:00,KLN-02,H47320,H,301.3,306.5,1168,38.6,58,5.23,4715.2,0.8966,hdf,0,0,1,0,0,0,0,0
322,2025-07-23 12:00:00,PKR-09,L47321,L,301.0,310.3,1168,65.5,253,9.34,8014.2,0.9988,osf,1,1,0,0,1,0,1,0
323,2025-07-23 18:00:00,CRS-08,L47322,L,301.1,312.0,1168,59.8,176,10.9,7310.0,0.9404,osf,1,0,0,0,1,0,1,0
324,2025-07-24 00:00:00,CRS-08,L47323,L,301.1,310.4,2043,29.2,83,9.31,6257.0,0.0041,rnf,0,0,0,0,0,0,0,0
325,2025-07-24 06:00:00,FAN-07,M47324,M,299.2,310.7,1168,41.6,53,11.49,5094.2,0.0114,tol,0,0,0,0,0,0,0,0
326,2025-07-24 12:00:00,CLC-06,M47325,M,298.6,308.3,1815,25.8,114,9.68,4901.4,0.0043,rnf,0,0,0,0,0,0,0,0
327,2025-07-24 18:00:00,FAN-07,M47326,M,298.7,308.7,2726,25.6,66,10.02,7297.8,0.8801,osp,1,0,0,0,0,1,0,0
328,2025-07-25 00:00:00,CRS-08,L47327,L,298.5,309.3,2886,26.8,47,10.76,8107.9,0.8998,osp,0,0,0,0,0,1,0,0
329,2025-07-25 06:00:00,FAN-07,M47328,M,298.8,308.8,1336,37.5,38,10.02,5250.5,0.0257,hdf,0,0,0,0,0,0,0,0
330,2025-07-25 12:00:00,PKR-09,L47329,L,299.6,309.3,1715,38.0,131,9.7,6822.5,0.0063,rnf,0,0,0,0,0,0,0,0
331,2025-07-25 18:00:00,BLR-03,M47330,M,299.4,309.4,1392,42.8,27,9.97,6237.1,0.0306,hdf,0,0,0,0,0,0,0,0
332,2025-07-26 00:00:00,CRS-08,L47331,L,298.7,309.6,1183,47.3,130,10.89,5859.4,0.0505,tol,0,0,0,0,0,0,0,0
333,2025-07-26 06:00:00,CLC-06,M47332,M,299.0,305.4,2173,36.3,59,6.37,8258.0,0.0088,rnf,0,0,0,0,0,0,0,0
334,2025-07-26 12:00:00,CLC-06,M47333,M,298.9,308.7,1168,56.4,78,9.87,6900.1,0.4876,tol,0,0,0,0,0,0,0,0
335,2025-07-26 18:00:00,CRS-08,L47334,L,298.8,308.8,2886,22.4,223,10.01,6782.2,0.978,osp,1,1,0,0,0,1,0,0
336,2025-07-27 00:00:00,CLC-06,M47335,M,298.7,309.6,2042,37.6,99,10.86,8031.3,0.0065,rnf,0,0,0,0,0,0,0,0
337,2025-07-27 06:00:00,CRS-08,L47336,L,300.3,310.2,2886,15.4,71,9.9,4648.7,0.8998,osp,1,0,0,0,0,1,0,0
338,2025-07-27 12:00:00,FAN-07,M47337,M,298.8,310.6,1555,47.1,49,11.81,7674.4,0.0458,tol,0,0,0,0,0,0,0,0
339,2025-07-27 18:00:00,PKR-09,L47338,L,298.6,308.4,1674,36.3,65,9.84,6358.8,0.0053,rnf,0,0,0,0,0,0,0,0
340,2025-07-28 00:00:00,RMM-04,H47339,H,298.7,308.4,2886,19.4,59,9.76,5868.4,0.8997,osp,1,0,0,0,0,1,0,0
341,2025-07-28 06:00:00,CRS-08,L47340,L,298.2,308.0,1496,50.0,177,9.83,7832.8,0.2873,osf,1,0,0,0,0,0,0,0
342,2025-07-28 12:00:00,RMM-04,H47341,H,298.9,307.6,2736,26.3,92,8.68,7525.1,0.884,osp,1,0,0,0,0,1,0,0
343,2025-07-28 18:00:00,CML-05,M47342,M,299.5,308.5,1533,46.9,169,8.96,7532.6,0.073,tol,0,0,0,0,0,0,0,0
344,2025-07-29 00:00:00,CRS-08,L47343,L,299.5,309.0,1168,33.6,45,9.47,4113.7,0.1613,hdf,0,0,0,0,0,0,0,0
345,2025-07-29 06:00:00,CML-05,M47344,M,299.4,310.5,1854,40.4,134,11.14,7837.4,0.0089,tol,0,0,0,0,0,0,0,0
346,2025-07-29 12:00:00,CML-05,M47345,M,299.3,309.3,1168,52.0,24,9.97,6357.6,0.2033,tol,0,0,0,0,0,0,0,0
347,2025-07-29 18:00:00,KLN-02,H47346,H,299.3,308.8,1931,29.5,49,9.52,5963.6,0.0041,rnf,0,0,0,0,0,0,0,0
348,2025-07-30 00:00:00,PKR-09,L47347,L,299.3,310.5,1578,40.8,167,11.23,6747.5,0.0179,tol,0,0,0,0,0,0,0,0
349,2025-07-30 06:00:00,CRS-08,L47348,L,299.2,310.8,1310,46.1,49,11.55,6322.8,0.034,tol,0,0,0,0,0,0,0,0
350,2025-07-30 12:00:00,PKR-09,L47349,L,299.4,310.7,1580,41.3,19,11.26,6830.2,0.0102,tol,0,0,0,0,0,0,0,0
351,2025-07-30 18:00:00,BLR-03,M47350,M,300.0,305.0,1168,44.3,115,5.05,5416.6,0.898,hdf,0,0,1,0,0,0,0,0
352,2025-07-31 00:00:00,PKR-09,L47351,L,299.1,308.7,2886,25.4,35,9.5,7668.6,0.8997,osp,1,0,0,0,0,1,0,0
353,2025-07-31 06:00:00,CRS-08,L47352,L,298.5,308.4,1440,46.1,31,9.94,6953.2,0.0438,tol,0,0,0,0,0,0,0,0
354,2025-07-31 12:00:00,PKR-09,L47353,L,297.4,307.6,1837,34.7,56,10.24,6665.7,0.0047,rnf,0,0,0,0,0,0,0,0
355,2025-07-31 18:00:00,CRS-08,L47354,L,298.1,307.9,1439,43.8,252,9.73,6606.3,0.9866,twf,1,1,0,0,1,0,0,0
356,2025-08-01 00:00:00,CRS-08,L47355,L,298.4,309.1,1412,50.1,96,10.72,7413.3,0.1098,tol,0,0,0,0,0,0,0,0
357,2025-08-01 06:00:00,FAN-07,M47356,M,298.9,309.9,1533,60.5,115,11.01,9717.8,0.9691,pwf,1,0,0,1,0,0,1,0
